epoch,loss,mae,mse
0,1.00221848487854,0.8462322354316711,1.00221848487854
1,0.9993658065795898,0.8446851968765259,0.9993658065795898
2,1.0153512954711914,0.8625132441520691,1.0153512954711914
3,1.0019795894622803,0.8309485912322998,1.0019795894622803
4,1.0280786752700806,0.8682595491409302,1.0280786752700806
5,0.9952824115753174,0.8339509963989258,0.9952824115753174
6,0.9943413138389587,0.8514254689216614,0.9943413138389587
7,1.0036147832870483,0.848737359046936,1.0036147832870483
8,0.9966311454772949,0.8436367511749268,0.9966311454772949
9,0.9990509748458862,0.8500796556472778,0.9990509748458862
